LP;ECG;IMP;Z0
625;10.68095;28260.08000;36.31200
626;12.51197;26349.05000;36.31200
627;18.92054;23250.86500;36.31200
628;26.24462;20529.09500;36.31200
629;20.14122;17141.36000;36.31200
630;16.78435;14101.08500;36.31200
631;17.69986;10539.62000;36.31200
632;10.68095;8223.22000;36.31200
633;7.93442;5733.09000;36.31200
634;13.12231;2866.54500;36.31200
635;12.81714;463.28000;36.31200
636;14.95333;-2924.45500;36.31200
637;24.10843;-5733.09000;36.31200
638;26.24462;-7702.03000;36.31200
639;17.08952;-10771.26000;36.31200
640;7.01891;-12769.15500;36.31200
641;4.57755;-16185.84500;36.31200
642;34.17904;-18386.42500;36.31200
643;17.08952;-19863.13000;36.31200
644;-9.46027;-24930.25500;36.31200
645;-10.37578;-28086.35000;36.31200
646;-3.05170;-29563.05500;36.31200
647;8.84993;-30547.52500;36.31200
648;14.03782;-31039.76000;36.31200
649;16.78435;-32400.64500;36.31200
650;14.64816;-33414.07000;36.31200
651;0.30517;-34108.99000;36.31200
652;-4.57755;-35238.23500;36.31200
653;-4.88272;-35383.01000;36.31200
654;3.96721;-35527.78500;36.31200
655;5.79823;-36135.84000;36.31200
656;-3.96721;-36164.79500;36.31200
657;-7.01891;-37207.17500;36.31200
658;-2.74653;-37120.31000;36.31200
659;12.81714;-36657.03000;36.31200
660;10.07061;-37120.31000;36.31200
661;-10.68095;-37380.90500;36.31200
662;-9.76544;-37322.99500;36.31200
663;-8.84993;-38857.61000;36.31200
664;-0.30517;-38568.06000;36.31200
665;10.07061;-38597.01500;36.31200
666;0.30517;-39494.62000;36.31200
667;-13.12231;-40044.76500;36.31200
668;-12.51197;-40537.00000;36.31200
669;2.44136;-40652.82000;36.31200
670;2.74653;-40594.91000;36.31200
671;-10.68095;-40710.73000;36.31200
672;-11.59646;-40392.22500;36.31200
673;-4.57755;-40131.63000;36.31200
674;14.64816;-39031.34000;36.31200
675;-0.30517;-38654.92500;36.31200
676;2.74653;-38249.55500;36.31200
677;5.79823;-37728.36500;36.31200
678;4.57755;-37438.81500;36.31200
679;5.49306;-36975.53500;36.31200
680;9.15510;-37062.40000;36.21600
681;9.46027;-37409.86000;36.21600
682;8.84993;-37467.77000;36.21600
683;12.20680;-36859.71500;36.21600
684;13.42748;-37583.59000;36.21600
685;19.83605;-38423.28500;36.21600
686;31.43251;-38539.10500;36.21600
687;27.77047;-37844.18500;36.21600
688;18.61537;-38683.88000;36.21600
689;11.29129;-38510.15000;36.21600
690;-0.30517;-39205.07000;36.21600
691;-4.27238;-39639.39500;36.21600
692;-6.10340;-39842.08000;36.21600
693;5.18789;-40305.36000;36.21600
694;8.54476;-41231.92000;36.21600
695;13.42748;-41724.15500;36.21600
696;15.56367;-41376.69500;36.21600
697;6.40857;-40710.73000;36.21600
698;6.10340;-41782.06500;36.21600
699;2.44136;-42303.25500;36.21600
700;2.13619;-42853.40000;36.21600
701;5.49306;-43432.50000;36.21600
702;7.32408;-44069.51000;36.21600
703;11.90163;-44561.74500;36.21600
704;18.00503;-45140.84500;36.21600
705;12.51197;-45893.67500;36.21600
706;2.74653;-44677.56500;36.21600
707;-1.83102;-45748.90000;36.21600
708;8.84993;-44851.29500;36.21600
709;15.56367;-44735.47500;36.21600
710;14.64816;-43374.59000;36.21600
711;23.19292;-42650.71500;36.21600
712;15.25850;-42390.12000;36.21600
713;-5.79823;-41637.29000;36.21600
714;-9.46027;-41463.56000;36.21600
715;-4.88272;-41202.96500;36.21600
716;-0.91551;-40739.68500;36.21600
717;2.44136;-40276.40500;36.21600
718;-3.35687;-40392.22500;36.21600
719;3.35687;-40247.45000;36.21600
720;-4.57755;-40739.68500;36.21600
721;-10.98612;-41753.11000;36.21600
722;-18.61537;-42853.40000;36.21600
723;-17.39469;-43953.69000;36.21600
724;-16.17401;-45401.44000;36.21600
725;-10.07061;-46762.32500;36.21600
